PolicyNumber;Make;Sex;MaritalStatus;Age;VehicleCategory;VehiclePrice;Deductible;DriverRating;PastNumberOfClaims;AgeOfVehicle;AgentType;NumberOfCars;BasePolicy;FraudFound_P
2007;Mazda;Male;Married;51;Sedan;20000 to 29000;400;4;none;7 years;External;2 vehicles;All Perils;0
41510;Mazda;Male;Married;28;Sedan;less than 20000;400;2;2 to 4;6 years;External;1 vehicle;All Perils;0
24005;Ferrari;Male;Married;43;Utility;40000 to 59000;400;3;1;7 years;External;1 vehicle;Collision;0
7348;Honda;Male;Married;31;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;Collision;0
44176;Honda;Male;Married;26;Sport;30000 to 39000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
34960;Mazda;Male;Single;18;Sport;more than 69000;400;2;none;5 years;External;1 vehicle;Collision;1
45;Pontiac;Male;Married;58;Sport;30000 to 39000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
7379;Chevrolet;Male;Married;62;Sport;30000 to 39000;400;2;none;more than 7;External;1 vehicle;Liability;0
48182;Honda;Male;Married;41;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
33325;Honda;Male;Married;41;Sport;30000 to 39000;400;3;none;7 years;External;1 vehicle;Liability;0
21547;Honda;Male;Married;76;Sport;more than 69000;400;2;none;more than 7;External;1 vehicle;Collision;1
35027;Pontiac;Male;Single;39;Sedan;20000 to 29000;400;2;more than 4;7 years;External;1 vehicle;Collision;0
26264;Pontiac;Male;Married;41;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;All Perils;0
5116;Toyota;Male;Married;49;Sedan;20000 to 29000;400;3;none;more than 7;External;1 vehicle;All Perils;0
5219;Toyota;Male;Married;27;Sport;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
31267;Toyota;Male;Married;32;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;All Perils;0
38797;Honda;Male;Single;0;Sport;more than 69000;400;3;1;new;External;1 vehicle;Liability;0
10338;Pontiac;Male;Married;64;Sport;less than 20000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
45669;Honda;Male;Single;22;Sport;more than 69000;400;3;more than 4;5 years;External;1 vehicle;Collision;0
10481;Pontiac;Male;Married;36;Sport;30000 to 39000;400;2;more than 4;7 years;External;1 vehicle;Liability;0
33192;Toyota;Male;Married;31;Sedan;20000 to 29000;400;3;more than 4;7 years;External;1 vehicle;Collision;1
2129;Toyota;Male;Single;35;Sedan;more than 69000;500;2;2 to 4;6 years;External;1 vehicle;Collision;0
3557;Pontiac;Male;Married;42;Sedan;20000 to 29000;700;3;2 to 4;7 years;External;1 vehicle;Collision;0
11263;Ford;Male;Married;34;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;All Perils;0
48804;Mazda;Male;Married;43;Sedan;30000 to 39000;400;4;none;more than 7;External;1 vehicle;All Perils;0
5903;Pontiac;Male;Married;39;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;Collision;0
35957;Honda;Male;Married;31;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
1121;Honda;Male;Single;39;Sedan;more than 69000;400;1;1;new;External;1 vehicle;Collision;0
43090;Mazda;Male;Single;22;Sedan;30000 to 39000;400;2;2 to 4;5 years;External;1 vehicle;All Perils;0
28040;Honda;Male;Single;34;Sedan;20000 to 29000;400;3;2 to 4;5 years;External;1 vehicle;All Perils;0
31361;Toyota;Male;Single;33;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;All Perils;0
5765;Pontiac;Male;Married;30;Sport;30000 to 39000;400;4;2 to 4;5 years;External;1 vehicle;Liability;0
37797;Pontiac;Male;Married;21;Sport;20000 to 29000;400;3;1;5 years;External;1 vehicle;Liability;0
44820;Pontiac;Female;Single;31;Sedan;20000 to 29000;400;2;none;5 years;External;1 vehicle;Collision;0
7423;Pontiac;Male;Married;26;Sedan;20000 to 29000;400;1;1;6 years;External;1 vehicle;All Perils;0
12743;Honda;Male;Married;79;Sport;20000 to 29000;400;3;1;more than 7;External;1 vehicle;Liability;0
19099;Chevrolet;Male;Married;49;Sedan;more than 69000;400;4;1;more than 7;External;1 vehicle;All Perils;0
14107;Toyota;Male;Married;54;Sedan;30000 to 39000;700;4;more than 4;7 years;External;1 vehicle;Collision;0
44458;Toyota;Male;Married;51;Sport;20000 to 29000;400;3;none;7 years;External;1 vehicle;Liability;0
35797;Honda;Male;Single;34;Sport;20000 to 29000;400;1;1;6 years;External;2 vehicles;Liability;0
13450;Ford;Male;Married;51;Sedan;40000 to 59000;400;4;2 to 4;more than 7;External;1 vehicle;Collision;0
34841;Toyota;Male;Married;31;Sedan;30000 to 39000;400;4;1;7 years;External;1 vehicle;Collision;0
39589;Mazda;Male;Married;41;Sport;more than 69000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
336;Honda;Male;Single;27;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
23918;Honda;Male;Married;33;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;Collision;0
26763;Honda;Male;Married;41;Sport;20000 to 29000;500;3;more than 4;7 years;External;1 vehicle;Liability;0
591;Mazda;Male;Married;36;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
47098;Honda;Male;Single;25;Sport;more than 69000;400;3;1;5 years;External;1 vehicle;Collision;1
14093;Honda;Male;Single;50;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
31947;Chevrolet;Male;Married;40;Sport;40000 to 59000;400;2;2 to 4;more than 7;Internal;1 vehicle;Liability;0
26792;Accura;Male;Single;41;Sport;more than 69000;400;2;more than 4;7 years;External;1 vehicle;Liability;0
17281;Pontiac;Female;Single;43;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;Collision;0
34355;Toyota;Male;Married;43;Sport;30000 to 39000;400;4;none;7 years;External;1 vehicle;Liability;0
4108;Ford;Male;Married;43;Utility;more than 69000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
32884;Pontiac;Male;Single;21;Sport;20000 to 29000;400;2;2 to 4;4 years;External;1 vehicle;Liability;0
7191;Chevrolet;Male;Single;32;Sedan;more than 69000;400;4;2 to 4;6 years;External;1 vehicle;All Perils;0
4698;Pontiac;Male;Married;78;Sport;20000 to 29000;400;2;1;7 years;External;1 vehicle;Liability;0
14683;Pontiac;Male;Married;52;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Collision;0
39712;Honda;Male;Married;43;Sport;20000 to 29000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
4953;Pontiac;Male;Married;54;Sport;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
31414;Toyota;Female;Single;32;Sedan;20000 to 29000;500;2;more than 4;6 years;External;1 vehicle;All Perils;0
40441;Pontiac;Male;Married;44;Sedan;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
39994;Honda;Male;Married;34;Sport;more than 69000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
37538;Accura;Male;Married;46;Sedan;20000 to 29000;400;1;more than 4;7 years;External;1 vehicle;Collision;0
4050;Pontiac;Female;Single;33;Sport;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Liability;0
15272;Mazda;Male;Married;53;Sedan;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Collision;0
16632;Honda;Female;Married;40;Sedan;20000 to 29000;400;2;none;7 years;External;2 vehicles;Collision;0
36190;Ford;Male;Married;39;Sport;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Liability;0
47014;Pontiac;Male;Married;43;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;2 vehicles;Collision;0
5864;Toyota;Male;Married;38;Sedan;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
3839;Honda;Male;Married;52;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
14305;Toyota;Female;Married;44;Sedan;20000 to 29000;400;3;none;3 years;External;1 vehicle;All Perils;0
33604;Mazda;Female;Married;60;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
6130;Honda;Male;Married;33;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
20608;Pontiac;Male;Married;47;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;All Perils;0
48728;Saab;Male;Married;42;Sport;30000 to 39000;400;2;2 to 4;7 years;External;3 to 4;Liability;0
43278;Pontiac;Male;Married;37;Sport;30000 to 39000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
47503;Pontiac;Male;Married;54;Sedan;20000 to 29000;400;4;1;more than 7;External;5 to 8;All Perils;0
26364;Toyota;Male;Married;46;Sport;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;Liability;0
36867;Pontiac;Male;Married;42;Sedan;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
31743;Pontiac;Male;Married;61;Sedan;20000 to 29000;400;4;1;more than 7;External;2 vehicles;Collision;0
7091;VW;Male;Married;53;Sedan;40000 to 59000;400;4;none;more than 7;External;1 vehicle;Collision;0
38096;Dodge;Female;Married;27;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;Collision;0
42913;Chevrolet;Male;Married;51;Sedan;20000 to 29000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
16790;Toyota;Male;Single;22;Sedan;30000 to 39000;400;3;none;6 years;External;1 vehicle;All Perils;0
41516;Pontiac;Male;Married;61;Sport;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;Liability;0
15337;Toyota;Female;Single;35;Sedan;20000 to 29000;400;2;none;5 years;External;1 vehicle;Collision;0
40744;Toyota;Male;Married;36;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
45730;Honda;Male;Single;31;Sport;30000 to 39000;400;4;2 to 4;6 years;External;1 vehicle;Liability;0
4591;Mazda;Male;Married;48;Sedan;30000 to 39000;400;3;more than 4;7 years;External;2 vehicles;Collision;0
27263;Honda;Male;Married;42;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
26943;Honda;Male;Single;21;Sedan;20000 to 29000;400;4;none;5 years;External;1 vehicle;Collision;0
16420;Toyota;Male;Married;36;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
28458;Toyota;Male;Married;61;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
27043;Pontiac;Male;Single;30;Sedan;20000 to 29000;700;3;none;7 years;External;1 vehicle;All Perils;0
39966;Accura;Male;Married;38;Sport;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
24178;Pontiac;Male;Married;47;Sedan;20000 to 29000;400;4;1;more than 7;External;1 vehicle;Collision;0
19410;Toyota;Male;Married;32;Sedan;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Collision;0
28856;Toyota;Male;Single;34;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
5715;Toyota;Male;Married;29;Sedan;30000 to 39000;400;3;1;7 years;External;1 vehicle;Collision;0
41624;Mazda;Male;Married;30;Utility;more than 69000;400;4;2 to 4;6 years;External;1 vehicle;All Perils;0
15585;Mazda;Male;Married;69;Sedan;30000 to 39000;400;1;none;more than 7;External;1 vehicle;All Perils;0
41347;Toyota;Male;Married;61;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;Collision;0
18601;Chevrolet;Male;Single;21;Sport;20000 to 29000;400;3;2 to 4;5 years;External;1 vehicle;Liability;0
37443;Pontiac;Male;Married;66;Sedan;20000 to 29000;400;1;1;more than 7;External;1 vehicle;All Perils;0
9943;Chevrolet;Male;Married;76;Sport;30000 to 39000;400;4;more than 4;more than 7;External;1 vehicle;Liability;0
38842;Honda;Male;Married;48;Sedan;20000 to 29000;400;3;2 to 4;more than 7;External;1 vehicle;Collision;0
36110;Mazda;Female;Married;31;Sport;30000 to 39000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
22944;Pontiac;Male;Married;44;Sedan;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Collision;0
19030;Honda;Male;Married;30;Sedan;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;Collision;1
5185;Pontiac;Male;Married;34;Sedan;20000 to 29000;400;2;1;6 years;External;1 vehicle;All Perils;0
25277;Toyota;Male;Married;30;Sedan;less than 20000;400;2;1;5 years;External;1 vehicle;Collision;0
33383;Pontiac;Male;Single;32;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;All Perils;0
16847;Pontiac;Male;Married;32;Sedan;less than 20000;400;1;none;7 years;External;1 vehicle;Collision;0
47942;Toyota;Male;Single;26;Sport;20000 to 29000;500;3;2 to 4;6 years;External;1 vehicle;Liability;0
45971;Chevrolet;Male;Married;34;Sedan;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;All Perils;0
20655;Pontiac;Female;Married;52;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
36158;Pontiac;Male;Married;54;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;All Perils;0
25843;Chevrolet;Male;Married;55;Sedan;30000 to 39000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
40478;Mazda;Male;Married;28;Sport;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
11174;Ford;Male;Married;44;Sedan;20000 to 29000;700;3;2 to 4;7 years;External;1 vehicle;All Perils;0
38655;Honda;Male;Single;31;Sport;more than 69000;400;2;more than 4;6 years;External;1 vehicle;Liability;0
36409;Pontiac;Male;Single;31;Sedan;20000 to 29000;400;4;more than 4;7 years;External;1 vehicle;All Perils;0
9206;Toyota;Male;Single;62;Sedan;more than 69000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
35194;Honda;Male;Married;32;Sedan;30000 to 39000;400;3;more than 4;7 years;External;1 vehicle;Collision;0
9528;Mazda;Male;Married;51;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;Collision;0
26273;Accura;Male;Married;54;Sedan;30000 to 39000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;0
43232;Mazda;Male;Married;40;Sport;30000 to 39000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
4694;Honda;Male;Single;0;Sport;more than 69000;400;1;none;new;External;1 vehicle;All Perils;0
33960;Toyota;Male;Single;29;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
46782;Chevrolet;Male;Single;35;Sedan;20000 to 29000;400;3;1;7 years;External;1 vehicle;Collision;0
7147;Chevrolet;Male;Single;28;Sedan;20000 to 29000;400;4;none;6 years;External;3 to 4;All Perils;0
16398;Pontiac;Male;Divorced;60;Sport;30000 to 39000;400;2;1;6 years;External;1 vehicle;Liability;0
35663;Toyota;Male;Married;39;Sedan;less than 20000;400;3;2 to 4;6 years;External;1 vehicle;All Perils;1
41606;Pontiac;Male;Married;39;Sedan;30000 to 39000;400;4;1;6 years;External;1 vehicle;All Perils;0
4659;Toyota;Male;Single;25;Sedan;20000 to 29000;400;1;2 to 4;5 years;External;1 vehicle;All Perils;0
42689;Accura;Male;Married;48;Utility;more than 69000;400;2;2 to 4;more than 7;External;1 vehicle;All Perils;0
6587;Toyota;Male;Married;42;Sport;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
12093;Toyota;Male;Single;31;Sedan;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;All Perils;0
14316;Ford;Female;Single;28;Sedan;40000 to 59000;400;1;none;6 years;External;1 vehicle;All Perils;0
16744;Toyota;Male;Married;50;Sport;20000 to 29000;400;3;more than 4;7 years;External;1 vehicle;Liability;0
17918;Toyota;Female;Married;45;Sport;20000 to 29000;500;2;1;7 years;External;1 vehicle;Liability;0
28528;Honda;Male;Married;32;Sedan;30000 to 39000;400;2;1;7 years;External;1 vehicle;All Perils;0
4757;Toyota;Male;Married;37;Sport;30000 to 39000;400;2;1;7 years;External;1 vehicle;Liability;0
6334;Mazda;Male;Single;30;Sedan;20000 to 29000;400;2;2 to 4;5 years;External;3 to 4;Collision;0
16537;Honda;Male;Single;34;Sport;more than 69000;400;2;2 to 4;6 years;External;1 vehicle;Liability;0
40240;Chevrolet;Male;Single;26;Sport;more than 69000;400;3;2 to 4;6 years;External;1 vehicle;Liability;0
45475;Pontiac;Male;Married;42;Sedan;less than 20000;400;1;none;more than 7;External;2 vehicles;Collision;0
15653;Toyota;Male;Married;55;Sedan;30000 to 39000;400;3;1;more than 7;External;1 vehicle;Collision;0
14720;Honda;Male;Married;47;Sedan;30000 to 39000;400;4;none;more than 7;External;1 vehicle;All Perils;0
39732;Mazda;Male;Single;30;Sport;more than 69000;400;4;none;7 years;External;1 vehicle;Collision;0
4414;Chevrolet;Male;Married;64;Sedan;20000 to 29000;400;2;none;more than 7;External;1 vehicle;All Perils;0
23930;Toyota;Female;Single;24;Sport;20000 to 29000;400;3;none;3 years;External;1 vehicle;Liability;0
835;Pontiac;Male;Married;44;Sedan;less than 20000;400;3;1;7 years;External;1 vehicle;All Perils;0
34970;Chevrolet;Male;Married;37;Sedan;40000 to 59000;400;4;2 to 4;more than 7;External;1 vehicle;All Perils;0
37380;Chevrolet;Male;Married;53;Sedan;60000 to 69000;400;1;2 to 4;more than 7;External;1 vehicle;Collision;0
11185;Pontiac;Male;Married;56;Sport;20000 to 29000;400;1;none;more than 7;External;1 vehicle;Liability;0
4107;Ford;Male;Married;50;Sedan;30000 to 39000;400;3;2 to 4;more than 7;External;1 vehicle;All Perils;0
36071;Chevrolet;Male;Single;26;Sport;30000 to 39000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
47441;Toyota;Male;Married;32;Sedan;less than 20000;400;2;1;6 years;External;1 vehicle;Collision;0
23330;Mazda;Male;Married;53;Sedan;30000 to 39000;400;1;none;more than 7;External;1 vehicle;Collision;0
48186;Honda;Male;Married;33;Sedan;30000 to 39000;400;1;1;6 years;External;1 vehicle;All Perils;0
25383;Honda;Male;Single;31;Sedan;20000 to 29000;400;4;2 to 4;6 years;External;1 vehicle;Collision;0
37219;Toyota;Female;Married;57;Sedan;20000 to 29000;400;2;1;more than 7;External;1 vehicle;Collision;0
15932;Pontiac;Male;Married;41;Sedan;20000 to 29000;400;2;2 to 4;7 years;External;1 vehicle;Collision;0
12948;Pontiac;Male;Married;29;Sedan;20000 to 29000;400;1;1;7 years;External;1 vehicle;All Perils;0
43864;Pontiac;Male;Married;51;Sport;20000 to 29000;400;1;more than 4;more than 7;External;1 vehicle;Liability;0
43401;Mazda;Male;Single;41;Sedan;20000 to 29000;400;2;1;7 years;External;1 vehicle;Collision;0
18857;Honda;Male;Married;39;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;Collision;0
17195;Toyota;Female;Single;42;Sedan;20000 to 29000;400;1;1;5 years;External;1 vehicle;Collision;0
16215;Pontiac;Male;Single;23;Sedan;30000 to 39000;400;3;2 to 4;5 years;External;1 vehicle;All Perils;0
5392;Mazda;Male;Single;21;Sedan;20000 to 29000;400;2;2 to 4;5 years;External;1 vehicle;Collision;0
5028;Honda;Female;Married;63;Sport;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Liability;0
17697;Mazda;Male;Married;50;Sedan;40000 to 59000;400;2;more than 4;7 years;External;1 vehicle;Collision;0
42786;Toyota;Male;Married;31;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;All Perils;0
14466;Pontiac;Male;Married;61;Sedan;less than 20000;400;1;1;more than 7;External;1 vehicle;All Perils;1
20939;Honda;Male;Married;36;Sedan;30000 to 39000;700;4;none;more than 7;External;1 vehicle;Collision;0
42781;Chevrolet;Male;Single;33;Sport;20000 to 29000;400;1;2 to 4;6 years;External;1 vehicle;Liability;0
27106;Accura;Male;Single;33;Sedan;30000 to 39000;400;3;none;7 years;External;1 vehicle;All Perils;0
35165;Mazda;Male;Single;28;Sport;30000 to 39000;400;2;1;6 years;External;3 to 4;Liability;0
48105;Chevrolet;Male;Married;24;Sedan;20000 to 29000;400;3;1;5 years;External;1 vehicle;All Perils;0
46897;Mazda;Female;Married;45;Sedan;20000 to 29000;400;2;none;6 years;External;1 vehicle;All Perils;0
41020;Mazda;Male;Single;31;Sedan;20000 to 29000;400;1;none;6 years;External;1 vehicle;All Perils;0
47635;VW;Male;Married;52;Sedan;30000 to 39000;400;1;more than 4;more than 7;External;1 vehicle;Collision;0
16270;Pontiac;Male;Single;48;Sedan;less than 20000;400;3;none;7 years;External;1 vehicle;All Perils;0
47476;Pontiac;Male;Married;54;Sedan;40000 to 59000;400;1;none;more than 7;External;1 vehicle;Collision;0
4849;Toyota;Female;Single;35;Sedan;less than 20000;400;3;2 to 4;7 years;External;1 vehicle;All Perils;0
44311;Accura;Male;Single;52;Sedan;30000 to 39000;400;3;1;7 years;External;1 vehicle;All Perils;0
40339;Pontiac;Male;Single;30;Sport;more than 69000;400;1;2 to 4;5 years;External;2 vehicles;Liability;0
48634;Chevrolet;Male;Married;37;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;1
48189;Chevrolet;Female;Single;37;Sport;20000 to 29000;400;4;none;7 years;External;1 vehicle;Liability;0
18548;Chevrolet;Female;Married;36;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
14;Chevrolet;Male;Single;27;Sedan;30000 to 39000;400;1;1;6 years;External;1 vehicle;All Perils;0
43309;Honda;Male;Single;0;Sport;more than 69000;400;4;2 to 4;new;External;1 vehicle;Liability;0
46532;Toyota;Male;Married;38;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
38916;Toyota;Male;Single;24;Sedan;20000 to 29000;400;3;1;5 years;External;1 vehicle;Collision;0
28608;Toyota;Male;Married;49;Sedan;20000 to 29000;400;1;none;5 years;External;2 vehicles;All Perils;0
7860;Pontiac;Male;Married;54;Sport;30000 to 39000;400;2;2 to 4;7 years;External;1 vehicle;Liability;0
37589;Pontiac;Male;Married;21;Sedan;20000 to 29000;400;2;none;5 years;External;1 vehicle;All Perils;0
13400;Pontiac;Male;Married;52;Sport;20000 to 29000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
23905;Accura;Male;Single;26;Sedan;30000 to 39000;400;1;2 to 4;6 years;External;1 vehicle;All Perils;0
29656;Toyota;Male;Married;78;Sport;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Liability;0
28930;Chevrolet;Male;Single;45;Sport;40000 to 59000;400;4;more than 4;7 years;External;1 vehicle;Liability;0
17318;Chevrolet;Male;Married;31;Sedan;20000 to 29000;400;4;1;6 years;External;1 vehicle;All Perils;1
12493;Chevrolet;Male;Married;37;Sport;20000 to 29000;400;4;none;more than 7;External;1 vehicle;Liability;0
25712;Toyota;Male;Married;43;Sport;20000 to 29000;400;3;none;more than 7;External;1 vehicle;Liability;0
12532;Pontiac;Male;Single;31;Sedan;less than 20000;500;1;none;6 years;External;1 vehicle;All Perils;1
33915;Pontiac;Female;Married;62;Sedan;less than 20000;400;2;2 to 4;more than 7;External;1 vehicle;Collision;0
24512;Honda;Male;Married;48;Sport;20000 to 29000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
27998;Pontiac;Male;Married;50;Sedan;20000 to 29000;400;2;none;7 years;External;1 vehicle;Collision;0
34040;Pontiac;Male;Married;27;Sedan;less than 20000;400;3;none;7 years;External;1 vehicle;All Perils;0
25172;Honda;Male;Single;61;Sedan;more than 69000;400;3;none;new;External;1 vehicle;All Perils;0
27152;Chevrolet;Male;Married;48;Sport;20000 to 29000;400;3;1;7 years;External;1 vehicle;Liability;0
20601;Toyota;Male;Single;32;Sedan;20000 to 29000;400;2;2 to 4;6 years;External;1 vehicle;Collision;0
45962;Pontiac;Male;Married;26;Sedan;20000 to 29000;400;2;2 to 4;5 years;External;1 vehicle;Collision;0
2894;Chevrolet;Male;Married;52;Sedan;more than 69000;400;2;1;7 years;External;1 vehicle;All Perils;0
8514;Chevrolet;Male;Married;38;Sedan;30000 to 39000;400;2;2 to 4;6 years;External;1 vehicle;Collision;1
47507;Pontiac;Male;Married;44;Sport;30000 to 39000;400;2;2 to 4;more than 7;External;3 to 4;Liability;0
34292;Toyota;Male;Married;70;Sedan;20000 to 29000;400;4;1;more than 7;External;3 to 4;All Perils;0
40292;Toyota;Female;Married;26;Sedan;less than 20000;400;4;none;7 years;External;1 vehicle;Collision;0
28755;Honda;Male;Single;41;Sport;more than 69000;400;1;more than 4;7 years;External;1 vehicle;Liability;0
3344;Toyota;Male;Married;27;Sedan;20000 to 29000;400;3;none;7 years;External;1 vehicle;All Perils;1
24583;Toyota;Male;Single;35;Sedan;20000 to 29000;400;2;1;5 years;External;1 vehicle;Collision;0
12919;Pontiac;Male;Married;26;Sport;20000 to 29000;400;3;2 to 4;6 years;External;2 vehicles;Liability;0
506;Toyota;Male;Married;44;Sedan;30000 to 39000;700;4;none;more than 7;External;1 vehicle;Collision;1
34418;Toyota;Male;Single;23;Sedan;20000 to 29000;400;4;2 to 4;5 years;External;1 vehicle;Collision;0
29401;Pontiac;Male;Single;35;Sedan;20000 to 29000;400;3;1;5 years;External;1 vehicle;Collision;0
44110;Pontiac;Female;Single;24;Sedan;20000 to 29000;400;4;none;3 years;External;1 vehicle;All Perils;0
38075;Mazda;Male;Single;30;Sport;more than 69000;400;2;2 to 4;5 years;External;1 vehicle;Collision;0
13344;Honda;Male;Single;33;Sedan;20000 to 29000;400;1;more than 4;6 years;External;1 vehicle;All Perils;0
43010;Chevrolet;Male;Single;31;Sedan;more than 69000;400;4;more than 4;6 years;External;1 vehicle;All Perils;0
36209;Pontiac;Male;Single;29;Sedan;20000 to 29000;400;3;1;6 years;External;1 vehicle;All Perils;0
29554;Mazda;Male;Single;31;Sedan;20000 to 29000;400;3;2 to 4;6 years;External;1 vehicle;Collision;0
14152;Chevrolet;Male;Married;53;Sport;40000 to 59000;400;4;2 to 4;7 years;External;1 vehicle;Liability;0
37972;Toyota;Male;Married;46;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
46044;Honda;Male;Single;0;Sedan;more than 69000;400;2;none;new;External;1 vehicle;Collision;1
2494;Pontiac;Male;Single;33;Sedan;20000 to 29000;400;4;none;6 years;External;1 vehicle;Collision;0
45320;Honda;Male;Married;37;Sport;30000 to 39000;400;1;2 to 4;7 years;External;1 vehicle;Liability;0
24233;Mazda;Male;Married;42;Sedan;20000 to 29000;400;1;none;7 years;External;1 vehicle;Collision;0
3404;Toyota;Male;Married;26;Sedan;20000 to 29000;400;3;none;6 years;External;1 vehicle;All Perils;0
16435;Chevrolet;Male;Married;51;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;All Perils;0
36488;Toyota;Male;Married;36;Sport;30000 to 39000;700;3;2 to 4;7 years;External;1 vehicle;Liability;1
22325;Toyota;Male;Single;35;Sedan;20000 to 29000;400;3;2 to 4;7 years;External;1 vehicle;Collision;0
35808;Honda;Male;Married;51;Sport;20000 to 29000;400;2;2 to 4;more than 7;External;1 vehicle;Liability;0
45060;Accura;Male;Married;38;Sedan;30000 to 39000;400;2;none;more than 7;External;1 vehicle;Collision;0
33077;Accura;Male;Married;53;Sport;60000 to 69000;400;3;more than 4;more than 7;External;1 vehicle;Liability;0
1998;Toyota;Male;Married;48;Sedan;20000 to 29000;400;4;none;7 years;External;1 vehicle;Collision;1
30890;Chevrolet;Male;Married;28;Utility;more than 69000;400;4;2 to 4;6 years;External;1 vehicle;All Perils;0
